Experiment,ExperimentName,Rotation,Gender,Order,Subject,AgeInMonths,AgeinYears,RunningOrder_List,CorrectResponse,ResponseCode,Response,ResponseRT,DisplayQuestion1.RTTime,Multi,Item,NewItem,Operation,Procedure,QuestionText,Position,Referent,Running
1,RyanMaths_Order3F_A,3,F,A,1,108,9,7,6{SPACE},0,0{SPACE},47311,249704,Referent,24,48,Subtraction,QuestionProc,Fiona has 10 cakes and Sam has 4 fewer cakes than Fiona. How many cakes does Sam have? ,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,16,13{SPACE},1,13{SPACE},10378,216254,Referent,1,1,Addition,QuestionProc,You have 4 apples and John has 9 apples. How many apples are there altogether?,First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,17,10{SPACE},1,10{SPACE},8247,224530,Referent,2,2,Addition,QuestionProc,You had 8 pencils and Sarah gave you 2 more. How many pencils do you have now?,First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,15,7{SPACE},1,7{SPACE},10983,205847,Referent,3,3,Addition,QuestionProc,You brought 3 games to the sleepover and Chris brought 4. How many games were brought to the sleepover altogether? ,First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,2,13{SPACE},0,1{SPACE},6902,39604,Referent,4,4,Addition,QuestionProc,Anna has 7 sweets and you have 6 sweets. How many sweets are there altogether?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,6,12{SPACE},1,12{SPACE},8791,93016,Referent,5,5,Addition,QuestionProc,David has 8 stickers and you gave him 4 more stickers. How many stickers does David have now?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,23,11{SPACE},1,11{SPACE},8815,276063,Referent,6,6,Addition,QuestionProc,Beth brought 2 cakes to the party and you brought 9 more. How many cakes were brought to the party?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,8,9{SPACE},1,9{SPACE},21212,121318,Referent,7,7,Subtraction,QuestionProc,"You had 12 stickers but you gave some to Gareth. If you then had 3 stickers, how many did you give away?",First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,7,7{SPACE},1,5{SPACE},7032,100077,Referent,8,8,Subtraction,QuestionProc,You had 7 grapes but Zahra took 2. How many grapes do you have now?,First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,4,5{SPACE},1,5{SPACE},9249,68132,Referent,9,9,Subtraction,QuestionProc,You have 13 toys. Shaun has 8 fewer toys than you. How many does Shaun have?,First,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,22,3{SPACE},1,3{SPACE},10347,267220,Referent,10,10,Subtraction,QuestionProc,"Abbie had 9 pictures but she gave some to you. She then had 6 pictures, how many did she give to you?",NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,9,3{SPACE},1,3{SPACE},8902,130248,Referent,11,11,Subtraction,QuestionProc,Ross had 11 cartons. You took 8 of them. How many cartons does Ross have now?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,3,9{SPACE},1,9{SPACE},19210,58843,Referent,12,12,Subtraction,QuestionProc,Catherine has 15 bags. You have 6 fewer bags than Catherine. How many bags do you have?,NotFirst,Self,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,10,12{SPACE},1,12{SPACE},15823,146099,Referent,13,13,Addition,QuestionProc,Sam has 3 stickers and Jack has 9 stickers. How many stickers do they have altogether?,First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,18,9{SPACE},1,9{SPACE},7748,232306,Referent,14,14,Addition,QuestionProc,Sam had 2 grapes and Rachel gave her 7 more. How many grapes does Sam have now?,First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,11,13{SPACE},1,13{SPACE},11205,157331,Referent,15,15,Addition,QuestionProc,"Sam brought 8 toys to school, and Joe brought 5 more. How many toys were brought altogether? ",First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,21,9{SPACE},1,9{SPACE},8880,256845,Referent,16,16,Addition,QuestionProc,Eva has 6 pictures and Sam has 3 pictures. How many pictures do they have altogether?,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,24,11{SPACE},1,11{SPACE},9178,285269,Referent,17,17,Addition,QuestionProc,Nathan has 8 cartoons and Sam gave him 3 more. How many cartoons does Nathan have now?,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,5,15{SPACE},1,15{SPACE},16036,84197,Referent,18,18,Addition,QuestionProc,"Rose bought 6 bags for the trip, and Sam bought 9 more. How many bags did they buy altogether?",NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,14,9{SPACE},1,9{SPACE},12764,194836,Referent,19,19,Subtraction,QuestionProc,"Sam had 13 apples. She gave some apples to Angus, and had 4 left. How many apples did she give away?",First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,1,2{SPACE},1,2{SPACE},8893,32674,Referent,20,20,Subtraction,QuestionProc,Sam had 10 pencils but Jessica took 8 of them. How many pencils does Sam have now?,First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,13,4{SPACE},1,4{SPACE},12585,182044,Referent,21,21,Subtraction,QuestionProc,Sam has 7 games. Murray has 3 fewer games than Sam. How many games does Murray have?,First,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,12,6{SPACE},1,6{SPACE},12071,169430,Referent,22,22,Subtraction,QuestionProc,"Ashleigh had 13 sweets. She gave some to Sam, then had 7 sweets left. How many sweets did she give away?",NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,19,4{SPACE},1,4{SPACE},9019,241356,Referent,23,23,Subtraction,QuestionProc,Ethan had 12 stickers but Sam took 8 of them. How many stickers does Ethan have now?,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,20,9{SPACE},1,9{SPACE},6552,247936,Referent,24,24,Subtraction,QuestionProc,Fiona has 11 cakes and Sam has 2 fewer cakes than Fiona. How many cakes does Sam have? ,NotFirst,Other,MultiRefQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,21,14{SPACE},1,14{SPACE},11751,591295,Object,1,25,Addition,QuestionProc1,You have 8 apples and also have 6 bananas. How many pieces of fruit do you have altogether?,First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,9,6{SPACE},1,6{SPACE},9769,448099,Object,2,26,Addition,QuestionProc1,"You had 4 pencils, then you got 2 notepads. How many things do you have now?",First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,7,12{SPACE},1,12{SPACE},12585,421651,Object,3,27,Addition,QuestionProc1,You bought 5 games and 7 songs for the journey. How many things did you buy for the journey?,First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,11,10{SPACE},0,{SPACE},123,461219,Object,4,28,Addition,QuestionProc1,Altogether you have 3 sweets and 7 doughnuts. How many snacks do you have?,NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,13,8{SPACE},1,8{SPACE},7467,483903,Object,5,29,Addition,QuestionProc1,"At the competition, you won 6 stickers and 2 medals. How many prizes did you win altogether? ",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,3,10{SPACE},1,10{SPACE},10484,362258,Object,6,30,Addition,QuestionProc1,"For the party, you bought 6 cakes and 4 cookies. How many snacks did you buy altogether?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,23,5{SPACE},1,5{SPACE},10926,617748,Object,7,31,Subtraction,QuestionProc1,"You had 8 stickers and cards, but gave 3 away. How many items did you have left?",First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,16,4{SPACE},1,4{SPACE},17129,532983,Object,8,32,Subtraction,QuestionProc1,"You had 9 fruits altogether, a mix of grapes and oranges. If 5 were grapes, how many were oranges?",First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,10,7{SPACE},1,7{SPACE},12941,461068,Object,9,33,Subtraction,QuestionProc1,You have 11 toys. You have 4 fewer books than toys. How many books do you have?,First,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,19,9{SPACE},1,9{SPACE},12060,567128,Object,10,34,Subtraction,QuestionProc1,"From the store, you bought 14 pictures and puzzles, but gave away 5. How many items did you have left?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,5,8{SPACE},1,8{SPACE},13801,395682,Object,11,35,Subtraction,QuestionProc1,"For drinks, you have a mix of 15 cartons and bottles. If 7 are cartons, how many are bottles?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,1,5{SPACE},1,5{SPACE},16684,340014,Object,12,36,Subtraction,QuestionProc1,"For the collection, you have 11 bags. You have 6 fewer boxes than bags. How many boxes do you have?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,17,8{SPACE},1,8{SPACE},9412,542424,Object,13,37,Addition,QuestionProc1,Sam has 3 stickers and also has 5 cards. How many items does she have altogether?,First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,14,9{SPACE},1,9{SPACE},13461,497392,Object,14,38,Addition,QuestionProc1,Sam had 5 grapes then she was given 4 oranges. How many pieces of fruit does she have now?,First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,12,11{SPACE},1,11{SPACE},15155,476407,Object,15,39,Addition,QuestionProc1,Sam took 4 toys and 7 books to the sleepover. How many things did she take to the sleepover altogether?,First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,15,14{SPACE},1,14{SPACE},18404,515825,Object,16,40,Addition,QuestionProc1,"Altogether, Sam has 5 pictures and 9 puzzles. How many items does she have?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,4,15{SPACE},1,15{SPACE},19567,381853,Object,17,41,Addition,QuestionProc1,"First Sam had 7 cartons, then she was given 8 bottles. How many drinks does she have now?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,20,11{SPACE},1,11{SPACE},12359,579515,Object,18,42,Addition,QuestionProc1,"For the collection, Sam brought 5 bags and 6 boxes. How many items did she bring altogether?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,6,6{SPACE},1,6{SPACE},13328,409038,Object,19,43,Subtraction,QuestionProc1,Sam had 14 apples and bananas but gave 8 away. How many pieces of fruit did she have left?,First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,18,2{SPACE},1,2{SPACE},12586,555039,Object,20,44,Subtraction,QuestionProc1,"Sam's 6-item stationery pack included both pencils and notepads. If 4 were pencils, how many were notepads?",First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,22,7{SPACE},1,7{SPACE},15470,606793,Object,21,45,Subtraction,QuestionProc1,Sam has 12 games. She has 5 fewer songs than games. How many songs does she have?,First,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,24,7{SPACE},0,{SPACE},163,617941,Object,22,46,Subtraction,QuestionProc1,"From the bakery, Sam bought 10 sweets and doughnuts, but gave 3 away. How many did she have left?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,8,2{SPACE},1,2{SPACE},16622,438301,Object,23,47,Subtraction,QuestionProc1,"At the competition, Sam won 8 stickers and medals. If 6 were stickers, how many were medals?",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order1M_A,1,M,A,2,101,8,2,6{SPACE},1,6{SPACE},11704,351746,Object,24,48,Subtraction,QuestionProc1,"For the party, Sam bought 10 cakes. She bought 4 fewer cookies than cakes. How many cookies did she buy? ",NotFirst,Other,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,18,13{SPACE},0,1,76163,1340371,Object,1,1,Addition,QuestionProc1,You have 4 apples and also have 9 bananas. How many pieces of fruit do you have altogether?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,22,10{SPACE},1,10{SPACE},22148,1496009,Object,2,2,Addition,QuestionProc1,"You had 8 pencils, then you got 2 notepads. How many things do you have now?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,10,7{SPACE},1,7{SPACE},61247,766200,Object,3,3,Addition,QuestionProc1,You bought 3 games and 4 songs for the journey. How many things did you buy for the journey?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,4,13{SPACE},0,11{SPACE},44642,335110,Object,4,4,Addition,QuestionProc1,Altogether you have 7 sweets and 6 doughnuts. How many snacks do you have?,NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,23,12{SPACE},1,12{SPACE},33489,1529527,Object,5,5,Addition,QuestionProc1,"At the competition, you won 8 stickers and 4 medals. How many prizes did you win altogether? ",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,2,11{SPACE},1,11{SPACE},83230,194750,Object,6,6,Addition,QuestionProc1,"For the party, you bought 2 cakes and 9 cookies. How many snacks did you buy altogether?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,14,9{SPACE},1,9{SPACE},26919,1060348,Object,7,7,Subtraction,QuestionProc1,"You had 12 stickers and cards, but gave 3 away. How many items did you have left?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,19,7{SPACE},0,3{SPACE},753,1341152,Object,8,8,Subtraction,QuestionProc1,"You had 9 fruits altogether, a mix of grapes and oranges. If 2 were grapes, how many were oranges?",First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,15,5{SPACE},0,6{SPACE},90454,1150831,Object,9,9,Subtraction,QuestionProc1,You have 13 toys. You have 8 fewer books than toys. How many books do you have?,First,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,13,3{SPACE},1,3{SPACE},160212,1033400,Object,10,10,Subtraction,QuestionProc1,"From the store, you bought 9 pictures and puzzles, but gave away 6. How many items did you have left?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,7,3{SPACE},0,17{SPACE},93827,554773,Object,11,11,Subtraction,QuestionProc1,"For drinks, you have a mix of 11 cartons and bottles. If 8 are cartons, how many are bottles?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,8,9{SPACE},0,10{SPACE},75570,630371,Object,12,12,Subtraction,QuestionProc1,"For the collection, you have 15 bags. You have 6 fewer boxes than bags. How many boxes do you have?",NotFirst,Self,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,21,12{SPACE},0,13{SPACE},66879,1473834,Object,13,13,Addition,QuestionProc1,Sam has 3 stickers and also has 9 cards. How many items does he have altogether?,First,Other,MultiObjQuestions
1,RyanMaths_Order3F_B,3,F,B,3,104,8,1,9{SPACE},1,9{SPACE},32420,111492,Object,14,14,Addition,QuestionProc1,Sam had 2 grapes then he was given 7 oranges. How many pieces of fruit does he have now?,First,Other,MultiObjQuestions
